Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
jenkins,jenkins.websocket,Jetty12EE9Provider,150.0,147.0,16.0,15.0,0.9558823529411765,0.7777777777777778
jenkins,jenkins.websocket,WriteCallbackImpl,0.0,0.0,1.0,1.0,-0.0,0.0
jenkins,jenkins.websocket,Provider,66.0,0.0,12.0,12.0,0.0,-1.0
jenkins,jenkins.websocket,Listener,15.0,0.0,6.0,6.0,0.0,-1.0
jenkins,jenkins.websocket,Handler,10.0,0.0,5.0,5.0,0.0,-1.0
jenkins,jenkins.websocket,WebSocketEcho,6.0,0.0,4.0,4.0,0.0,1.0
jenkins,jenkins.websocket,WebSockets,63.0,60.0,10.0,8.0,0.8787878787878788,0.5
jenkins,jenkins.websocket,WebSocketSession,55.0,44.0,7.0,7.0,0.8409090909090909,0.4166666666666667
jenkins,executable,Main,66.0,0.0,12.0,1.0,0.9454545454545454,0.0
jenkins,executable,MainTest,21.0,0.0,7.0,1.0,0.0,0.0
jenkins,jenkins.console,ConsoleUrlProviderTest,42.0,29.0,5.0,4.0,0.8333333333333334,0.36363636363636365
jenkins,jenkins.console,CustomConsoleUrlProvider,0.0,0.0,1.0,1.0,-0.0,0.0
jenkins,jenkins.console,DescriptorImpl,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins.console,IgnoreAllRunsConsoleUrlProvider,0.0,0.0,1.0,1.0,0.0,0.0
jenkins,jenkins.console,DescriptorImpl,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins.console,ConsoleUrlProviderGlobalConfiguration,25.0,22.0,6.0,6.0,0.8571428571428571,0.75
jenkins,jenkins.console,DefaultConsoleUrlProvider,3.0,0.0,3.0,3.0,0.0,1.0
jenkins,jenkins.console,DescriptorImpl,0.0,0.0,1.0,1.0,0.0,0.0
jenkins,jenkins.console,WithConsoleUrl,0.0,0.0,1.0,1.0,0.0,-1.0
jenkins,jenkins.console,ConsoleUrlProviderUserProperty,20.0,19.0,6.0,6.0,0.8333333333333334,0.8571428571428571
jenkins,jenkins.console,DescriptorImpl,6.0,0.0,4.0,4.0,0.0,1.0
jenkins,jenkins.console,ConsoleUrlProvider,21.0,21.0,7.0,4.0,1.0,-1.0
jenkins,jenkins,ExtensionFilterTest,1.0,0.0,3.0,3.0,2.0,1.0
jenkins,jenkins,Impl,0.0,0.0,1.0,1.0,0.0,0.0
jenkins,jenkins,CoreAutomaticTestBuilder,0.0,0.0,1.0,1.0,0.0,0.0
jenkins,jenkins,ClassPathTest,0.0,0.0,1.0,1.0,0.0,0.0
jenkins,jenkins,Junit4TestsRanTest,0.0,0.0,1.0,1.0,0.0,0.0
jenkins,jenkins,I18nTest,0.0,0.0,1.0,1.0,-0.0,0.0
jenkins,jenkins,DailyCheck,6.0,0.0,4.0,4.0,1.0,1.0
jenkins,jenkins,ExtensionComponentSet,36.0,0.0,9.0,8.0,1.125,0.8888888888888888
jenkins,jenkins,MissingDependencyException,1.0,0.0,1.0,1.0,0.5,0.0
jenkins,jenkins,MetaLocaleDrivenResourceProvider,0.0,0.0,1.0,1.0,0.0,0.0
jenkins,jenkins,PluginSubtypeMarker,15.0,0.0,6.0,6.0,0.0,1.0
jenkins,jenkins,InitReactorRunner,22.0,16.0,5.0,1.0,0.6190476190476192,0.0
jenkins,jenkins,AgentProtocol,28.0,0.0,8.0,5.0,0.0,0.625
jenkins,jenkins,ExtensionRefreshException,6.0,0.0,4.0,4.0,0.0,1.0
jenkins,jenkins,PluginLocaleDrivenResourceProvider,0.0,0.0,1.0,1.0,0.0,-1.0
jenkins,jenkins,JenkinsHttpSessionListener,1.0,0.0,2.0,2.0,-0.0,0.0
jenkins,jenkins,ClassLoaderReflectionToolkit,10.0,0.0,5.0,4.0,1.0,0.8
jenkins,jenkins,GetClassLoadingLock,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins,FindLoadedClass,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins,FindClass,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins,FindResource,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins,FindResources,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins,ProxyInjector,210.0,0.0,21.0,1.0,0.0,0.0
jenkins,jenkins,ExtensionFilter,3.0,0.0,3.0,2.0,0.0,0.6666666666666666
jenkins,jenkins,UserAgentURLConnectionDecorator,1.0,0.0,2.0,1.0,1.0,0.0
jenkins,jenkins,I18n,6.0,0.0,4.0,4.0,0.0,1.0
jenkins,jenkins,SlaveToMasterFileCallable,3.0,0.0,3.0,1.0,1.25,0.0
jenkins,jenkins,RestartRequiredException,0.0,0.0,1.0,1.0,-0.0,0.0
jenkins,jenkins,MasterToSlaveFileCallable,0.0,0.0,0.0,0.0,0.0,-1.0
jenkins,jenkins,ErrorAttributeFilter,3.0,0.0,3.0,3.0,1.0,1.0
